Nomor Regulasi,Judul Regulasi,URL Regulasi,Sektor,Subsektor,Jenis,Nomor,Tanggal
21 Tahun 2024,Laporan Berkala Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/POJK-21-Tahun-2024-Laporan-Berkala-Dana-Pensiun.aspx,PPDP,Dana Pensiun,Peraturan OJK,21 Tahun 2024,1 Juni 2025
27 Tahun 2024,Penyelenggaraan Perdagangan Aset Keuangan Digital Termasuk Aset Kripto,https://www.ojk.go.id/id/regulasi/Pages/POJK-27-2024-AKD-AK.aspx,ITSK,Peraturan Lainnya,Peraturan OJK,27 Tahun 2024,10 Januari 2025
23 Tahun 2024,Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan Bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-23-Tahun-2024-Pelaporan-Melalui-Sistem-Pelaporan-OJK-dan-Transparansi-Kondisi-Keuangan-Bagi-BPR-dan-BPRS.aspx,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,23 Tahun 2024,1 Januari 2025
22 Tahun 2024,Laporan Berkala Perusahaan Perasuransian,https://www.ojk.go.id/id/regulasi/Pages/POJK-22-Tahun-2024-Laporan-Berkala-Perusahaan-Perasuransian.aspx,PPDP,Asuransi,Peraturan OJK,22 Tahun 2024,1 Januari 2025
26 Tahun 2024,Perluasan Kegiatan Usaha Perbankan,https://www.ojk.go.id/id/regulasi/Pages/POJK-26-Tahun-2024-Perluasan-Kegiatan-Usaha-Perbankan.aspx,Perbankan,"BPR, BPRS, Perbankan Syariah",Peraturan OJK,26 Tahun 2024,13 Desember 2024
18/SEOJK.08/2024,Penilaian Sendiri Terhadap Pemenuhan Ketentuan Pelindungan Konsumen dan Masyarakat di Sektor Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-18-SEOJK08-2024-Penilaian-Sendiri-Terhadap-Pemenuhan-Ketentuan-Pelindungan-Konsumen-dan-Masyarakat-di-SJK.aspx,EPK,Peraturan Lainnya,Surat Edaran OJK,18/SEOJK.08/2024,10 Desember 2024
16/SEOJK.03/2024,Pelaporan Melalui Sistem Pelaporan Otoritas Jasa Keuangan dan Transparansi Kondisi Keuangan bagi Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-16-SEOJK.03-2024-Pelaporan-Melalui-Sistem-Pelaporan-Otoritas-Jasa-Keuangan-dan-Transparansi-Kondisi-Keuangan-bagi.aspx,Perbankan,"Bank Umum, BPR, BPRS",Surat Edaran OJK,16/SEOJK.03/2024,1 Desember 2024
25 Tahun 2024,Penerapan Tata Kelola Syariah Bagi Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-25-Tahun-2024-Penerapan-Tata-Kelola-Syariah-Bagi-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPRS, Perbankan Syariah",Peraturan OJK,25 Tahun 2024,29 November 2024
24 Tahun 2024,Kualitas Aset Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-24-Tahun-2024-Kualitas-Aset-Bank-Perekonomian-Rakyat-Syariah.aspx,Perbankan,"BPR, BPRS, Perbankan Syariah",Peraturan OJK,24 Tahun 2024,29 November 2024
20 Tahun 2024,Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 50/POJK.03/2017 tentang Kewajiban Pemenuhan Rasio Pendanaan Stabil Bersih (Net Stable Funding Ratio) Bagi Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-20-Tahun-2024-Perubahan-Atas-POJK-50POJK032017-tentang-Kewajiban-Pemenuhan-NSFR-Bagi-Bank-Umum.aspx,Perbankan,"Bank Umum, Peraturan Lainnya",Peraturan OJK,20 Tahun 2024,8 November 2024
19 Tahun 2024,Perubahan Atas Peraturan Otoritas Jasa Keuangan Nomor 42/POJK.03/2015 tentang Kewajiban Pemenuhan Rasio Kecukupan Likuiditas (Liquidity Coverage Ratio) Bagi Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/POJK-19-Tahun-2024-Perubahan-POJK-Nomor-42POJK032015-tentang-Kewajiban-Pemenuhan-Rasio-Kecukupan-Likuiditas-Bagi-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,19 Tahun 2024,8 November 2024
18 Tahun 2024,Penyedia Likuiditas,https://www.ojk.go.id/id/regulasi/Pages/POJK-18-Tahun-2024-Penyedia-Likuiditas.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,18 Tahun 2024,8 November 2024
12 Tahun 2024,Penerapan Strategi Anti Fraud Bagi Lembaga Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Penerapan-Strategi-Anti-Fraud-Bagi-Lembaga-Jasa-Keuangan.aspx,"Perbankan, Pasar Modal, IKNB, Syariah, EPK",Peraturan Lainnya,Peraturan OJK,12 Tahun 2024,31 Oktober 2024
14/SEOJK.05/2024,Persetujuan dan Pelaporan Produk Asuransi,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-14-SEOJK05-2024-Persetujuan-dan-Pelaporan-Produk-Asuransi.aspx,IKNB,Asuransi,Surat Edaran OJK,14/SEOJK.05/2024,29 Oktober 2024
13/SEOJK.08/2024,Penyusunan dan Penyampaian Laporan Rencana dan Laporan Realisasi Literasi Keuangan dan Inklusi Keuangan,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-13-SEOJK08-2024-Penyusunan-dan-Penyampaian-Laporan-Rencana-dan-Laporan-Realisasi-Literasi-Keuangan-dan-Inklusi.aspx,EPK,Peraturan Lainnya,Surat Edaran OJK,13/SEOJK.08/2024,24 Oktober 2024
12/SEOJK.03/2024,Penerapan Tata Kelola Bagi Bank Perekonomian Rakyat,https://www.ojk.go.id/id/regulasi/Pages/SEOJK-12-SEOJK03-2024-Penerapan-Tata-Kelola-Bagi-Bank-Perekonomian-Rakyat.aspx,Perbankan,BPR,Surat Edaran OJK,12/SEOJK.03/2024,18 Oktober 2024
17 Tahun 2024,Penyelenggaraan Kegiatan Usaha Bulion,https://www.ojk.go.id/id/regulasi/Pages/POJK-17-Tahun-2024-Penyelenggaraan-Kegiatan-Usaha-Bulion.aspx,PVML,Peraturan Lainnya,Peraturan OJK,17 Tahun 2024,18 Oktober 2024
16 Tahun 2024,Pengawasan PT Sarana Multi Infrastruktur (Persero),https://www.ojk.go.id/id/regulasi/Pages/Pengawasan-PT-Sarana-Multi-Infrastruktur-Persero-POJK-16-2024.aspx,IKNB,Peraturan Lainnya,Peraturan OJK,16 Tahun 2024,15 Oktober 2024
15 Tahun 2024,Integritas Pelaporan Keuangan Bank,https://www.ojk.go.id/id/regulasi/Pages/POJK-15-Tahun-2024-Integritas-Pelaporan-Keuangan-Bank.aspx,Perbankan,Bank Umum,Peraturan OJK,15 Tahun 2024,9 Oktober 2024
11/SEOJK.01/2024,Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pelaporan-dan-Permintaan-Informasi-Debitur-Melalui-Sistem-Layanan-Informasi-Keuangan-11-SEOJK01-2024.aspx,Perbankan,Peraturan Lainnya,Surat Edaran OJK,11/SEOJK.01/2024,2 Oktober 2024
10/SEOJK.05/2024,Mekanisme dan Tata Cara Pemisahan Unit Syariah Perusahaan Asuransi dan Perusahaan Reasuransi,https://www.ojk.go.id/id/regulasi/Pages/Mekanisme-dan-Tata-Cara-Pemisahan-Unit-Syariah-Perusahaan-Asuransi-dan-Perusahaan-Reasuransi-10SEOJK052024.aspx,IKNB,Peraturan Lainnya,Surat Edaran OJK,10/SEOJK.05/2024,27 September 2024
9/SEOJK.05/2024,"Penilaian Kualitas atas Tagihan Subrogasi, Kegiatan Penjaminan, dan Suretyship","https://www.ojk.go.id/id/regulasi/Pages/Penilaian-Kualitas-atas-Tagihan-Subrogasi,-Kegiatan-Penjaminan,-dan-Suretyship-9SEOJK052024.aspx",IKNB,Peraturan Lainnya,Surat Edaran OJK,9/SEOJK.05/2024,27 September 2024
8/SEOJK.07/2024,Asosiasi Penyelenggara Inovasi Teknologi Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Asosiasi-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan.aspx,ITSK,Peraturan Lainnya,Surat Edaran OJK,8/SEOJK.07/2024,11 September 2024
14 Tahun 2024,Satuan Tugas Penanganan Kegiatan Usaha Tanpa Izin di Sektor Keuangan,https://www.ojk.go.id/id/regulasi/Pages/POJK-Tahun-14-2024-Satuan-Tugas-Penanganan-Kegiatan-Usaha-Tanpa-Izin-di-Sektor-Keuangan.aspx,"Perbankan, Pasar Modal, IKNB, Syariah, EPK",Peraturan Lainnya,Peraturan OJK,14 Tahun 2024,26 Agustus 2024
13 Tahun 2024,Transparansi dan Publikasi Suku Bunga Dasar Kredit Bagi Bank Umum Konvensional,https://www.ojk.go.id/id/regulasi/Pages/POJK-13-2024-Transparansi-dan-Publikasi-Suku-Bunga-Dasar-Kredit-Bagi-Bank-Umum-Konvensional.aspx,Perbankan,Bank Umum,Peraturan OJK,13 Tahun 2024,12 Agustus 2024
7/SEOJK.07/2024,Pelaporan Penyelenggara Inovasi Teknologi Sektor Keuangan yang Terdaftar di Otoritas Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Pelaporan-Penyelenggara-Inovasi-Teknologi-Sektor-Keuangan-yang-Terdaftar-di-Otoritas-Jasa-Keuangan.aspx,ITSK,Peraturan Lainnya,Surat Edaran OJK,7/SEOJK.07/2024,8 Agustus 2024
11 Tahun 2024,Perubahan Kedua Atas Peraturan Otoritas Jasa Keuangan Nomor 18/POJK.03/2017 tentang Pelaporan dan Permintaan Informasi Debitur Melalui Sistem Layanan Informasi Keuangan (SLIK),https://www.ojk.go.id/id/regulasi/Pages/Perubahan-Kedua-POJK-Nomor-18-2017-tentang-Pelaporan-dan-Permintaan-Informasi-Debitur-melalui-SLIK.aspx,Perbankan,Peraturan Lainnya,Peraturan OJK,11 Tahun 2024,31 Juli 2024
10 Tahun 2024,Penerbitan dan Pelaporan Obligasi Daerah dan Sukuk Daerah,https://www.ojk.go.id/id/regulasi/Pages/Penerbitan-dan-Pelaporan-Obligasi-Daerah-dan-Sukuk-Daerah.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,10 Tahun 2024,9 Juli 2024
9 Tahun 2024,Penerapan Tata Kelola bagi Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/POJK-9-2024-Penerapan-Tata-Kelola-bagi-BPR-dan-BPRS.aspx,Perbankan,"BPR, Perbankan Syariah",Peraturan OJK,9 Tahun 2024,1 Juli 2024
4/SEOJK.05/2024,Dasar Penilaian Investasi Dana Pensiun,https://www.ojk.go.id/id/regulasi/Pages/Dasar-Penilaian-Investasi-Dana-Pensiun.aspx,IKNB,Dana Pensiun,Surat Edaran OJK,4/SEOJK.05/2024,1 Juli 2024
